What is a pumpkin?;Fruit;Vegetable;Protein;Vehicle;
What kind of enemies do you have to face in Left4Dead?;To Infecteds;To Spiders;To Orcs;To Slimes;
Who composed the Silent Hill soundtrack?;Akira Yamaoka;Nobuo Uematsu;Howard Shore;Masafumi Takada;
Where does the story of Dead Space take place?;Spaceship;In the Woods;Psychiatric Ward;Endor;
In Poppy Playtime TVs we can play videos with;VHS Tape;Bluray Disc;Mini Disc;USB Stick;
What is the name of the protagonist of Clock Tower 3?;Alyssa Hamilton;Alyssa Hale;Ashley Tate;Jennifer Simpson;
Which of the following beings/characters doesn't scare you in Dixper?;Carebears;Osito;Hellow Kitty;Yoshi;
Which collection does the Crocodile bites the screen skill belong to?;Jump Scares;Halloween;Phasmophobia;Terror 2022;
What enemy grabs blocks in Minecraft?;Enderman;Slenderman;Bee;Zombi;
What horror game is the most played using Dixper currently?;Phasmophobia;Dead By Daylight;Resident Evil;Back 4 Blood;
What disturbs Mike during the nights on duty at Five Nights at Freddy's?;Animatronics;Teddy Bears;Bears;Aliens;
What enemies does Regina face on Ibis Island?;Dinosaurs Ghosts;Monsters ;Zombies ;Ghosts;
What is the profession of the protagonist of Layers of Fear?;Painter;Pianist;Psychiatrist;Doctor;
Which FBI agent is part of the Mitochondrial Investigation and Suppression Team?;Aya Brea;Chris Redfield;Sebastián Castellanos;Cybil bennet;
What is the name of the merchant who sells you in Resident Evil 8?;Duke;Buhonero;Oaka XXIII;Karla;
What is the name of the gentleman scientist in Don't Starve?;Willson;Willow;Wolfgang;Wilbur;
What drives Deacon to explore the post-apocalyptic world of Days Gone?;Motorcycle;Buggy;Car;Tractor;
Where does Control take place?;New York;Los Angeles;Chicago;Winchester;
In which Mansion does Miku enter to look for his missing friend in Fatal Frame?;Himuro Mansion;Hiroshi Mansion;Yamamoto Mansion;Luigi's Mansion;
